Area,Raised,Raised_Pits,Flat_Pits
4513.0,0.0,0.0,0.0
4727.0,0.0,0.0,0.0
7602.0,0.0,0.0,0.0
127.0,0.0,0.0,0.0
2800.0,0.0,0.0,0.0
5256.0,0.0,0.0,0.0
8431.0,0.0,0.0,0.0
502.0,0.0,0.0,0.0
1631.0,0.0,0.0,0.0
3442.0,0.0,0.0,0.0
4210.0,0.0,0.0,0.0
1636.0,0.0,0.0,0.0
4343.0,0.0,0.0,0.0
7607.0,0.0,0.0,0.0
1383.0,0.0,0.0,0.0
46665.0,0.0,0.0,0.0
1700.0,0.0,0.0,0.0
2541.0,0.0,0.0,0.0
7502.0,0.0,0.0,0.0
509.0,0.0,0.0,0.0
402.0,0.0,0.0,0.0
6913.0,0.0,0.0,0.0
890.0,0.0,0.0,0.0
4049.0,0.0,0.0,0.0
9078.0,0.0,0.0,0.0
2000.0,0.0,0.0,0.0
7110.0,0.0,0.0,0.0
11883.0,0.0,0.0,0.0
6808.0,0.0,0.0,0.0
2237.0,0.0,0.0,0.0
4036.0,0.0,0.0,0.0
6582.0,0.0,0.0,0.0
7429.0,0.0,0.0,0.0
6611.0,0.0,0.0,0.0
4781.0,0.0,0.0,0.0
723.0,0.0,0.0,0.0
4946.0,0.0,0.0,0.0
1647.0,0.0,0.0,0.0
1445.0,0.0,0.0,0.0
1102.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0
1732.0,0.0,0.0,0.0
1725.0,0.0,0.0,0.0
8229.0,0.0,0.0,0.0
3106.0,0.0,0.0,0.0
5260.0,0.0,0.0,0.0
26198.0,0.0,0.0,0.0
6614.0,0.0,0.0,0.0
4283.0,0.0,0.0,0.0
4443.0,0.0,0.0,0.0
1969.0,0.0,0.0,0.0
1636.0,0.0,0.0,0.0
2553.0,0.0,0.0,0.0
2548.0,0.0,0.0,0.0
3536.0,0.0,0.0,0.0
1547.0,0.0,0.0,0.0
3312.0,0.0,0.0,0.0
11884.0,0.0,0.0,0.0
5949.0,0.0,0.0,0.0
1565.0,0.0,0.0,0.0
5021.0,0.0,0.0,0.0
1576.0,0.0,0.0,0.0
2717.0,0.0,0.0,0.0
2529.0,0.0,0.0,0.0
2179.0,0.0,0.0,0.0
2222.0,0.0,0.0,0.0
17820.0,0.0,0.0,0.0
5951.0,0.0,0.0,0.0
2049.0,0.0,0.0,0.0
861.0,0.0,0.0,0.0
11700.0,0.0,0.0,0.0
8218.0,0.0,0.0,0.0
3198.0,0.0,0.0,0.0
3376.0,0.0,0.0,0.0
1555.0,0.0,0.0,0.0
1642.0,0.0,0.0,0.0
892.0,0.0,0.0,0.0
889.0,0.0,0.0,0.0
5709.0,0.0,0.0,0.0
3644.0,0.0,0.0,0.0
